repo_id,github_repo_id,repo_name,full_name,description,topics,language,language,owner_id,github_owner_id,owner_login,visibility,private,disabled,fork,archived,default_branch,language,language,stargazers_count,watchers,watchers_count,forks_count,forks,open_issues_count,created_at,updated_at,pushed_at
ed35ef31-1edc-5cd0-a250-d62d346f2a86,194898737,.github,microsoft/.github,Default Community Health/Policy Files for the Microsoft organization on GitHub,,,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,,,137,137,137,211,211,4,2019-07-02 16:27:27+00:00,2026-01-27 20:14:54+00:00,2025-12-12 15:35:46+00:00
557ad997-ecdb-5e20-bea4-48d7a6f0d707,342423762,.Net-Interactive-Kernels-ADS,microsoft/.Net-Interactive-Kernels-ADS,Install and Use .Net Interactive Kernels in ADS,,Jupyter Notebook,Jupyter Notebook,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Jupyter Notebook,Jupyter Notebook,5,5,5,3,3,7,2021-02-26 01:06:58+00:00,2025-11-25 19:28:15+00:00,2023-07-19 02:33:47+00:00
ec1b8ce9-184a-5e2e-bacd-31abbf353af5,255536764,.NET-Modernization-In-a-Day,microsoft/.NET-Modernization-In-a-Day,.NET Modernization In a Day workshop content,,JavaScript,JavaScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,1,master,JavaScript,JavaScript,49,49,49,47,47,17,2020-04-14 07:12:21+00:00,2025-11-25 19:30:35+00:00,2022-12-08 06:46:43+00:00
1c92ae97-ce38-544c-95af-4bdf8a53ae05,181561897,0xDeCA10B,microsoft/0xDeCA10B,Sharing Updatable Models (SUM) on Blockchain,"ai,artificial-intelligence,blockchain,economics,ethereum,machine-learning,ml,node,prediction-mar,prediction-market,python,react,smart-contracts,truffle",Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Python,Python,602,602,602,155,155,18,2019-04-15 20:37:11+00:00,2026-01-21 11:57:08+00:00,2025-04-30 17:26:33+00:00
b7970471-b143-5c9b-b287-7c3ab286678e,214504654,2019-ignite-circuit-playground,microsoft/2019-ignite-circuit-playground,Get started with Circuit Playground Express and the Device Simulator Express,,Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,1,master,Python,Python,11,11,11,9,9,0,2019-10-11 18:28:11+00:00,2025-11-25 19:28:38+00:00,2019-11-04 23:55:01+00:00
1792a596-90c3-5cb7-ad82-25fa682d08ad,588264857,2023iotlevelup,microsoft/2023iotlevelup,,,Python,Python,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,Python,Python,15,15,15,6,6,2,2023-01-12 18:04:35+00:00,2025-11-25 19:28:08+00:00,2023-02-21 21:45:25+00:00
bdfa025e-5fce-52af-9c49-6a60e3502e1b,224439081,25-days-of-serverless,microsoft/25-days-of-serverless,Repository responsible for 25 days of Serverless challenges,"azure,azure-functions,challenge,chsharp,golang,java,javascript,nodejs,php,python,ruby,serverless,typescript",,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,1,main,,,456,456,456,139,139,8,2019-11-27 13:38:11+00:00,2025-11-25 19:20:36+00:00,2023-10-13 09:45:28+00:00
94e68f43-0855-5ffe-88c8-a44cee77c030,123261435,2LCS,microsoft/2LCS,Lifecycle Services Companion App for administrators,"365,app,companion,d365fo,dynamics,finance,lcs,lifecycle,operations,services",C#,C#,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,master,C#,C#,116,116,116,57,57,9,2018-02-28 09:24:33+00:00,2026-01-21 20:10:29+00:00,2025-02-01 15:05:31+00:00
66c93eb4-d9ef-5ef5-8705-0de1f7b5c037,38279022,3-in-1-dock,microsoft/3-in-1-dock,,,,,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,1,master,,,55,55,55,21,21,0,2015-06-30 00:43:54+00:00,2025-11-25 19:28:29+00:00,2022-11-28 19:14:19+00:00
67731da7-289a-5072-a843-05d8569c58e6,514348074,30daysof,microsoft/30daysof,"30 Day of Learning Resources, Samples and Curricula","azure,data-science,powerapps,pwa,serverless,staticwebapp",JavaScript,JavaScript,0dd58109-d16c-5fac-9308-c895180d7869,6154722,microsoft,public,0,0,0,0,main,JavaScript,JavaScript,179,179,179,61,61,19,2022-07-15 17:14:24+00:00,2025-12-11 22:29:16+00:00,2026-01-22 04:06:27+00:00
